name,rarity,description,cost,tags,damage,damageType,attunement,stackSize,image,shape,container,containerRows,containerCols,properties,mastery,source
Copper Piece,special,"Ooh, shiny!",1cp,currency|valuable,,,,50,,1,,,,,,PHB
Silver Piece,special,"Ooh, shiny!",1sp,currency|valuable,,,,50,,1,,,,,,PHB
Electrum Piece,special,"Ooh, shiny!",1ep,currency|valuable,,,,50,,1,,,,,,PHB
Gold Piece,special,"Ooh, shiny!",1gp,currency|valuable,,,,50,,1,,,,,,PHB
Platinum Piece,special,"Ooh, shiny!",1pp,currency|valuable,,,,50,,1,,,,,,PHB
Club,,,1sp,weapon|simple mele weapon,1d4,bludgeoning,,,,1|1,,,,Light,Slow,PHB
Dagger,,,2gp,weapon|simple mele weapon,1d4,piercing,,,,1,,,,Finesse; Light; Thrown (Range 20/60),Nick,PHB
Greatclub,,,2sp,weapon|simple mele weapon,1d8,bludgeoning,,,,111|111|110|010|010,,,,Two-Handed,Push,PHB
Handaxe,,,5gp,weapon|simple mele weapon,1d6,slashing,,,,1|1,,,,Light; Thrown (Range 20/60),Vex,PHB
Javelin,,,5sp,weapon|simple mele weapon,1d6,piercing,,,,1|1,,,,Thrown (Range 30/120),Slow,PHB
Light Hammer,,,2gp,weapon|simple mele weapon,1d4,bludgeoning,,,,1|1,,,,Light; Thrown (Range 20/60),Nick,PHB
Mace,,,5gp,weapon|simple mele weapon,1d6,bludgeoning,,,,11|01|01,,,,,Sap,PHB
Quarterstaff,,,2sp,weapon|simple mele weapon,1d6,bludgeoning,,,,1|1|1|1,,,,Versatile (1d8),Topple,PHB
Sickle,,,1gp,weapon|simple mele weapon,1d4,slashing,,,,1|1,,,,Light,Nick,PHB
Spear,,,1gp,weapon|simple mele weapon,1d6,piercing,,,,1|1|1,,,,Thrown (Range 20/60); Versatile (1d8),Sap,PHB
Dart,,,5cp,weapon|simple ranged weapon,1d4,piercing,,4,,1,,,,Finesse; Thrown (Range 20/60),Vex,PHB
