id,name,rarity,description,cost,tags,damage,damageType,attunement,stackable,weightEach,image,shape,container,containerRows,containerCols
1_rod_of_the_pact_keeper,+1 Rod of the Pact Keeper,uncommon,"While holding this rod, you gain a +1 bonus to spell attack rolls and to the saving throw DCs of your Warlock spells. In addition, you can regain one spell slot as a Magic action while holding the rod. You can't use this property again until you finish a Long Rest.",,rod,,,true,,2,,,,,
1_wand_of_the_war_mage,+1 Wand of the War Mage,uncommon,"While holding this wand, you gain a +1 bonus to spell attack rolls. In addition, you ignore Half Cover when making a spell attack roll.",,wand,,,true,,1,,,,,
1_wraps_of_unarmed_power,+1 Wraps of Unarmed Power,uncommon,"While wearing these wraps, you have a +1 bonus to attack rolls and damage rolls made with your Unarmed Strikes. Those strikes deal your choice of Force damage or their normal damage type.",,wondrous_item,,,,,,,,,,
2_rod_of_the_pact_keeper,+2 Rod of the Pact Keeper,rare,"While holding this rod, you gain a +2 bonus to spell attack rolls and to the saving throw DCs of your Warlock spells. In addition, you can regain one spell slot as a Magic action while holding the rod. You can't use this property again until you finish a Long Rest.",,rod,,,true,,2,,,,,
2_wand_of_the_war_mage,+2 Wand of the War Mage,rare,"While holding this wand, you gain a +2 bonus to spell attack rolls. In addition, you ignore Half Cover when making a spell attack roll.",,wand,,,true,,1,,,,,
2_wraps_of_unarmed_power,+2 Wraps of Unarmed Power,rare,"While wearing these wraps, you have a +2 bonus to attack rolls and damage rolls made with your Unarmed Strikes. Those strikes deal your choice of Force damage or their normal damage type.",,wondrous_item,,,,,,,,,,
3_rod_of_the_pact_keeper,+3 Rod of the Pact Keeper,very_rare,"While holding this rod, you gain a +3 bonus to spell attack rolls and to the saving throw DCs of your Warlock spells. In addition, you can regain one spell slot as a Magic action while holding the rod. You can't use this property again until you finish a Long Rest.",,rod,,,true,,2,,,,,
3_wand_of_the_war_mage,+3 Wand of the War Mage,very_rare,"While holding this wand, you gain a +3 bonus to spell attack rolls. In addition, you ignore Half Cover when making a spell attack roll.",,wand,,,true,,1,,,,,
3_wraps_of_unarmed_power,+3 Wraps of Unarmed Power,very_rare,"While wearing these wraps, you have a +3 bonus to attack rolls and damage rolls made with your Unarmed Strikes. Those strikes deal your choice of Force damage or their normal damage type.",,wondrous_item,,,,,,,,,,
acid,Acid,common,,25gp,adventuring_gear,,,,,1,,,,,
